Name;Source Book;Src Page;Schl;Sub-school;Descriptor;Class Lvls;Adp;APeace;Arc;Artificer;Asn;Beguiler;Blg;Blk;Brd;BVal;ChamGwyn;Clr;Corrupt;Dem;Drd;Duskblade;EmBarachiel;Exalted Arcanist;HB;Hlr;Hoard;Holder;HotD;Hrp;Hth;IOTDF;KotC;MH;Pal;PUG;Rgr;Sanctified;Shu;Slayer of Domiel;Sor/Wiz;Vassal of Bahamut;Wmg;Wuj;Domn Lvls;Air;Animal;Artifice;Balance;Bestial;Blackwater;Cavern;Celerity;Celestial;Chaos;Charm;City;Cold;Commerce;Community;Competition;Corruption;Courage;Craft;Creation;Darkness;Death;Deathbound;Deathless;Decay;Demonic;Destiny;Destruction;Diabolic;Domination;Dragon;Dream;DrgBlw;Drow;Dwarf;Earth;Elf;Endurance;Evil;Exorcism;Family;Fate;Feast;Fey;Fire;Force;Glory;Gnome;Good;Greed;Halfling;Hatred;Healing;Herald;Hunger;Illusion;Inquisition;Joy;Knowledge;Law;Liberation;Life;Luck;Madness;Magic;Meditation;Mental;Metal;Mind;Moon;Mysticism;Necro;Nobility;Ocean;Oracle;Orc;Pact;Pain;Passion;Pestilence;Planning;Plant;Pleasure;Portal;Portal (alt);Protection;Purification;Renewal;Repose;Retribution;Rune;Sand;SaveLife;Scalykind;Seafolk;Shadow;Sin-A;Sin-E;Sin-G;Sin-L;Sin-P;Sin-S;Sin-W;Sky;Slime;Spell;Spider;Storm;Strength;Suffering;Summer;Summoner;Sun;Thirst;Time;Trade;Transformation;Travel;Trickery;Truth;Tyranny;Undeath;VDarkness;War;Warforged;Water;Watery Death;Wealth;Weather;Winter;Wrath;Components;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Resistance;Short Description;Medium Description;Long Descripton
Cocoon;MAG;85;Conj;Creation;;;;;8;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, XP;1 round;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Instantaneous;Fortitude negates;Yes;Paralyzes and drains levels from target.;;
Cocoon of Life;SPC;49;Conj;Creation;;;;;8;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, XP;1 round;Close (25 ft. + 5 ft./2 levels);Target;One corpse;Instantaneous;Fortitude negates;Yes;Preserves a corpse and reincarnates with no loss of level.;;
Cold Fire;SPC;50;Tran;;Cold;;;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;"One fire source (up to a 20-ft. cube) or one creature; see text";1 min./level (D) (fire source) or Instantaneous (creature);No (fire source) or Fortitude half (creature);No (fire source) or Yes (creature);Fire becomes blue and white, emits cold.;;
Cold Snap;SPC;50;Tran;;Cold;;;;6;;;;;;;;;6;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 minute;1 mile;Area;1-mile-radius circle centered on you;2d4 hours;None;No;You lower temperature in area.;;
Coldscream;BoEM;17;Evoc;;Cold, Sonic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;Cone;Instantaneous;Reflex half;Yes;Deal 1d6/level (max 10d6) sonic and cold (half each) damage in a cone.;Cone deals 1d6/level (max 10d6) sonic and cold damage (half each).;
Color Spray;SRD;210;Illu;Pattern;Mind-Affecting;;;;2;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;15 ft.;Area;Cone-shaped burst;"Instantaneous; see text";Will negates;Yes;Knocks unconscious, blinds, and/or stuns 1d6 weak creatures.;Stuns creatures 5+ HD 1 rd, also blinds 3-4 HD another 1d4 rounds, also knocks unconscious 2 HD living creatures another 2d4 rounds.;A vivid cone of clashing colors springs forth from your hand, causing creatures to become stunned, perhaps also blinded, and possibly knocking them unconscious.[lf][lf]Each creature within the cone is affected according to its Hit Dice.[lf][lf]2 HD or less: The creature is unconscious, blinded, and stunned for 2d4 rounds, then blinded and stunned for 1d4 rounds, and then stunned for 1 round. (Only living creatures are knocked unconscious.)[lf][lf]3 or 4 HD: The creature is blinded and stunned for 1d4 rounds, then stunned for 1 round.[lf][lf]5 or more HD: The creature is stunned for 1 round.[lf][lf]Sightless creatures are not affected by color spray.
Column of Ice;FR;90;Conj;Creation;Cold;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One column of ice, 10-ft. radius and 5 ft./level in height;Permanent;Reflex negates;No;Column of ice erupts from ground, lifting anything in its area into the air.;;
Coma;BoEM;17;Ench;Compulsion;Mind-Affecting;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 hour/level;Fortitude negates;Yes;You put a living creature in a coma.;;
Combust;SPC;50;Evoc;;Fire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Touch;Target;Touched creature or combustible object that weighs no more than 25 lb./level;"Instantaneous; see text";Reflex partial;Yes;Target takes 1d8/level (max 10d8) fire damage.;Target takes 1d8/level (max 10d8) fire damage.;
Cometfall;SPC;50;Conj;Creation;;;;;6;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Medium (100 ft. + 10 ft./level);Effect;400-pound ball of rock and ice;Instantaneous;Reflex half;No;Comet falls atop foes, damaging them and knocking them prone.;;
Cometstrike;FR;90;Conj;Creation;Cold;;;;9;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, DF;1 standard action;Medium (100 ft. + 10 ft./level);Target;Three different creatures or objects;3 rounds;Reflex partial;No;Three comets per round strike targets, each dealing 3d6 bludgeoning damage and 1d4/level cold damage.;3 comets per round strike targets, each dealing 3d6 bludgeoning and 1d4/level (max 10d4) cold damage.;
Command;SRD;211;Ench;Compulsion;Mind-Affecting, Language-Dependent;;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;V;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 round;Will negates;Yes;One subject obeys selected command for 1 round.;;You give the subject a single command, which it obeys to the best of its ability at its earliest opportunity. You may select from the following options.[lf][lf]Approach: On its turn, the subject moves toward you as quickly and directly as possible for 1 round. The creature may do nothing but move during its turn, and it provokes attacks of opportunity for this movement as normal.[lf][lf]Drop: On its turn, the subject drops whatever it is holding. It can't pick up any dropped item until its next turn.[lf][lf]Fall: On its turn, the subject falls to the ground and remains prone for 1 round. It may act normally while prone but takes any appropriate penalties.[lf][lf]Flee: On its turn, the subject moves away from you as quickly as possible for 1 round. It may do nothing but move during its turn, and it provokes attacks of opportunity for this movement as normal.[lf][lf]Halt: The subject stands in place for 1 round. It may not take any actions but is not considered helpless.[lf][lf]If the subject can't carry out your command on its next turn, the spell automatically fails.
Command Plants;SRD;211;Tran;;;;;;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;3;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;Up to 2 HD/level of plant creatures, no two of which can be more than 30 ft. apart;1 day/level;Will negates;Yes;Sway the actions of one or more plant creatures.;;This spell allows you some degree of control over one or more plant creatures. Affected plant creatures can understand you, and they perceive your words and actions in the most favorable way (treat their attitude as friendly). They will not attack you while the spell lasts. You can try to give a subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldnt ordinarily do. (Retries are not allowed.) A commanded plant never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.[lf][lf]You can affect a number of plant creatures whose combined level or HD do not exceed twice your level.
Command Undead;SRD;211;Necr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One undead creature;1 day/level;"Will negates; see text";Yes;Undead creature obeys your commands.;;This spell allows you some degree of control over an undead creature. Assuming the subject is intelligent, it perceives your words and actions in the most favorable way (treat its attitude as friendly). It will not attack you while the spell lasts. You can try to give the subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldn't ordinarily do. (Retries are not allowed.) An intelligent commanded undead never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.[lf][lf]A nonintelligent undead creature gets no saving throw against this spell. When you control a mindless being, you can communicate only basic commands, such as come here, go there, fight, stand still, and so on. Nonintelligent undead won't resist suicidal or obviously harmful orders.[lf][lf]Any act by you or your apparent allies that threatens the commanded undead (regardless of its Intelligence) breaks the spell.[lf][lf]Your commands are not telepathic. The undead creature must be able to hear you.
Command, Greater;SRD;211;Ench;Compulsion;Mind-Affecting, Language-Dependent;;;5;5;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;5;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;V;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One creature/level, no two of which can be more than 30 ft. apart;1 round/level;Will negates;Yes;As command, but affects one subject/level.;;This spell functions like command, except that up to one creature per level may be affected, and the activities continue beyond 1 round. At the start of each commanded creatures action after the first, it gets another Will save to attempt to break free from the spell. Each creature must receive the same command.
Commune;SRD;211;Div;;;;5;5;5;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, DF, XP;10 minutes;Personal;Target;You;1 round/level;;;Deity answers one yes-or-no question/level.;;You contact your deity or agents thereof and ask questions that can be answered by a simple yes or no. (A cleric of no particular deity contacts a philosophically allied deity.) You are allowed one such question per caster level. The answers given are correct within the limits of the entity's knowledge. Unclear is a legitimate answer, because powerful beings of the Outer Planes are not necessarily omniscient. In cases where a one-word answer would be misleading or contrary to the deitys interests, a short phrase (five words or less) may be given as an answer instead.[lf][lf]The spell, at best, provides information to aid character decisions. The entities contacted structure their answers to further their own purposes. If you lag, discuss the answers, or go off to do anything else, the spell ends.
Commune with City;RD;165;Div;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;10 minutes;Personal;Target;You;Instantaneous;;;Learn about city.;;
Commune with Earth;Rac;189;Div;;;;;;5;;;;;;;;;5;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;10 minutes;Personal;Target;the ground or terrain, plants, minerals, bodies of water, people, general animal population, presence of woodland creatures, presence of powerful unnatural creatures, or even the general state of the natural setting.;Instantaneous;;;Learn about terrain for 1 mile/level.;;
Commune with Greater Spirit;CAr;101;Div;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, XP;10 minutes;10 ft.;Target;One spirit;1 min./level;"Will negates; see text";No;As commune with lesser spirit, except this spell can contact any spirit creature regardless of Hit Dice, and you can ask one question per caster level.;;
Commune with Lesser Spirit;CAr;101;Div;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;10 minutes;10 ft.;Target;One lesser spirit;1 min./level;"Will negates; see text";No;Ask questions to a local spirit about local events.;;
Commune with Nature;SRD;211;Div;;;;;;4;;;;;;;4;;;;;5;;;;;;;;;;;;;;;;4;;5;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;10 minutes;Personal;Target;the ground or terrain, plants, minerals, bodies of water, people, general animal population, presence of woodland creatures, presence of powerful unnatural creatures, or even the general state of the natural setting.;Instantaneous;;;Learn about terrain for 1 mile/level.;;In outdoor settings, the spell operates in a radius of 1 mile per caster level. In natural underground settingscaves, caverns, and the likethe radius is limited to 100 feet per caster level. The spell does not function where nature has been replaced by construction or settlement, such as in dungeons and towns.
Comprehend Languages;SRD;212;Div;;;;1;1;1;;;1;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M/DF;1 standard action;Personal;Target;You;10 min./level;;;You understand all spoken and written languages.;Touch creature or writing to understand language, but you cannot speak or write them.;You can understand the spoken words of creatures or read otherwise incomprehensible written messages. In either case, you must touch the creature or the writing. The ability to read does not necessarily impart insight into the material, merely its literal meaning. The spell enables you to understand or read an unknown language, not speak or write it.[lf][lf]Written material can be read at the rate of one page (250 words) per minute. Magical writing cannot be read, though the spell reveals that it is magical. This spell can be foiled by certain warding magic (such as the secret page and illusory script spells). It does not decipher codes or reveal messages concealed in otherwise normal text.[lf][lf]Comprehend languages can be made permanent with a permanency spell.
Concurrent Infusions;MoE;94;Tran;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M;1 minute;Touch;Target;Object touched;Instantaneous;None (Object);No (object);Cast three 1st-level infusions simultaneously.;;
Conditional Spell;BoEM;17;Evoc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;1 creature or object;Permanent until triggered;None;No;See Text;;
Conduit Of Life;CC;118;Conj;Healing;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Personal;Target;You;10 min./level or until discharged;;;Heal 2dl0+1/caster level (max. 10) points of damage to yourself while channeling positive energy.;Heal 2dl0+1/caster level (max. 10) points of damage to yourself while channeling positive energy.;
Cone of Cold;SRD;212;Evoc;;Cold;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;5;5;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;V, S, M/DF;1 standard action;60 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;Yes;1d6/level cold damage.;1d6/level (max 15d6) cold damage in a cone.;Cone of cold creates an area of extreme cold, originating at your hand and extending outward in a cone. It drains heat, dealing 1d6 points of cold damage per caster level (maximum 15d6).
Cone of Dimness;SPC;50;Illu;Phantasm;Mind-Affecting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;60 ft.;Area;Cone-shaped burst;1 round/level;"Will negates; see text";Yes;Cone temporarily convinces creatures that they are blind.;;
Confound ;CC;118;Ench;Compulsion;Mind-Affecting;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;Will negates;Yes;Gain a on attack rolls against subject and impose a penalty on its attack rolls against you;"Gain a +2 circumstance bonus on attack rolls against subject and impose a -2 penalty on its attack rolls against you; subject cannot make attacks of opportunity[lf][lf]against you; repeated use extends benefits to allies.";
Confusion;SRD;212;Ench;Compulsion;Mind-Affecting;;;;5;;;4;;;3;;;;;;;;;;3;;;;;;;;;;;;;;5;;4;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;V, S, M/DF;1 standard action;Medium (100 ft. + 10 ft./level);Targets;All creatures in a 15-ft. radius burst;1 round/level;Will negates;Yes;For 1 round/level, subject will attack caster 10%, act normally 10%, babble 30%, flee 20%, attack nearest creature 30%.;;This spell causes the targets to become confused, making them unable to independently determine what they will do.  Roll on the following table at the beginning of each subjects turn each round to see what the subject does in that round.    [lf]d%Behavior  [lf]01-10Attack caster with melee or ranged weapons (or close with caster if attack is not possible).  [lf]11-20Act normally.  [lf]21-50Do nothing but babble incoherently.  [lf]51-70Flee away from caster at top possible speed.  [lf]71-100Attack nearest creature (for this purpose, a familiar counts as part of the subjects self).    [lf]A confused character who can't carry out the indicated action does nothing but babble incoherently. Attackers are not at any special advantage when attacking a confused character. Any confused character who is attacked automatically attacks its attackers on its next turn, as long as it is still confused when its turn comes. Note that a confused character will not make attacks of opportunity against any creature that it is not already devoted to attacking (either because of its most recent action or because it has just been attacked).
Confusion, Lesser;SRD;212;Ench;Compulsion;Mind-Affecting;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 round;Will negates;Yes;One creature is confused for 1 round.;;This spell causes the targets to become confused, making them unable to independently determine what they will do.  Roll on the following table at the beginning of each subjects turn each round to see what the subject does in that round.    [lf]d%Behavior  [lf]01-10Attack caster with melee or ranged weapons (or close with caster if attack is not possible).  [lf]11-20Act normally.  [lf]21-50Do nothing but babble incoherently.  [lf]51-70Flee away from caster at top possible speed.  [lf]71-100Attack nearest creature (for this purpose, a familiar counts as part of the subjects self).    [lf]A confused character who can't carry out the indicated action does nothing but babble incoherently. Attackers are not at any special advantage when attacking a confused character. Any confused character who is attacked automatically attacks its attackers on its next turn, as long as it is still confused when its turn comes. Note that a confused character will not make attacks of opportunity against any creature that it is not already devoted to attacking (either because of its most recent action or because it has just been attacked).
Conjure Greater Midnight Construct;MoI;;Conj;Creation;Incarnum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One conjured midnight construct;1 round/level (D);None;No;As conjure lesser midnight construct, except conjure a greater midnight construct instead with more essentia options.;;
Conjure Ice Beast I;FR;91;Conj;Creation;Cold;;;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One conjured ice creature;1 round/level (D);None;No;Conjures ice creature to fight for you.;;
Conjure Ice Beast II;FR;91;Conj;Creation;Cold;;;;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more conjured ice creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;No;Conjures ice creature to fight for you.;;
Conjure Ice Beast III;FR;91;Conj;Creation;Cold;;;;3;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more conjured ice creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;No;Conjures ice creature to fight for you.;;
Conjure Ice Beast IV;FR;91;Conj;Creation;Cold;;;;4;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more conjured ice creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;No;Conjures ice creature to fight for you.;;
Conjure Ice Beast IX;FR;91;Conj;Creation;Cold;;;;9;;;;;;;;;9;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more conjured ice creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;No;Conjures ice creature to fight for you.;;
